만지지, korean
아부지, korean
꽃이, korean
神秘, japanese
있냐고, korean
손은, korean
끝나고, korean
lady, chinese
サンドラ, japanese
위한, korean
green, chinese
있어도, korean
sir, chinese
die, chinese
楽, japanese
诶, chinese
中庭, japanese
tlf, chinese
리즈, korean
国外, japanese
신원, korean
有点, chinese
아니라고요, korean
姑娘, chinese
ブリーフ, japanese
여기다, korean
must, chinese
溜, chinese
水, chinese
없어도, korean
贫穷, chinese
大哥, chinese
뒤에는, korean
죽이려고, korean
쟤는, korean
yeah, japanese
打仗, chinese
보살펴, korean
はじめ, japanese
lord, korean
停下, chinese
头脑, chinese
survive, korean
ムショ, japanese
見抜, japanese
お腹, japanese
いた, japanese
가시면, korean
せっかく, japanese
くせ, japanese
ロックハート, japanese
테러, korean
베고, korean
找到, chinese
高, japanese
て, japanese
no, japanese
トーク, japanese
振り回, japanese
while, chinese
되, korean
材料, japanese
깨끗하게, korean
비밀, korean
麦克风, chinese
늦은, korean
four, korean
비상, korean
護送, japanese
공식적으로, korean
가족을, korean
그거, korean
th, chinese
失控, chinese
저보다, korean
악마, korean
手紙, japanese
代金, japanese
コール, japanese
은하가, korean
tomorrow, chinese
爱, chinese
知事, japanese
依存, japanese
않은가, korean
頑固, japanese
들어간, korean
到, japanese
働, japanese
same, chinese
貨, chinese
대학에, korean
해라, korean
키가, korean
一旦, japanese
ジョージ, japanese
leave, korean
巨人, japanese
ナニ, japanese
from, korean
寝返, japanese
车祸, chinese
憲法, japanese
地震, japanese
一晩, japanese
便, chinese
계속해서, korean
火山, chinese
실례할게요, korean
性别, chinese
合作, chinese
这个, chinese
머리를, korean
起動, japanese
得出, chinese
boy, chinese
보여주는, korean
line, chinese
異常, japanese
違, chinese
大方, chinese
wow, korean
위의, korean
痴, chinese
作证, chinese
坚强, chinese
集合, japanese
机器人, chinese
马桶, chinese
苦しみ, japanese
开口, chinese
かかわ, japanese
my, korean
テッサ, japanese
泽, chinese
麼說, chinese
雷诺, chinese
된다는, korean
일하지, korean
much, korean
仍然, chinese
予感, japanese
水晶, chinese
시도는, korean
訴え, japanese
idiot, korean
蒙, chinese
생각했다, korean
凶手, chinese
조용한, korean
兰花, japanese
떠나야, korean
사람이었어, korean
密輸, japanese
已婚, chinese
絶滅, japanese
mir, chinese
イエロー, japanese
内, chinese
此案, chinese
anyone, chinese
创伤, chinese
여보, korean
예쁘게, korean
到底, chinese
好, chinese
相片, chinese
矛盾, chinese
아내에게, korean
警戒, japanese
紧紧, chinese
주에, korean
岛, chinese
ジャン, japanese
뜨거운, korean
손상을, korean
眼, japanese
틀림없이, korean
活命, chinese
临, chinese
train, korean
움직이지, korean
루시, korean
共産, japanese
急救, chinese
여자, korean
警车, chinese
利安, chinese
guy, chinese
郎, japanese
狙い, japanese
より, japanese
传言, chinese
久等, chinese
上院, japanese
決定, japanese
万能, chinese
价值, chinese
charlie, korean
扯, chinese
打扰, chinese
에버딘, korean
残酷, japanese
보여주지, korean
bed, chinese
電話, japanese
이년아, korean
옆에, korean
가져가, korean
법은, korean
저번에, korean
位子, chinese
ニモ, japanese
인생에서, korean
デクスター, japanese
저, korean
根据, chinese
空っぽ, japanese
外星, chinese
인생은, korean
인간과, korean
段, japanese
服装, chinese
宿命, japanese
スライド, japanese
災い, japanese
deal, korean
传送, chinese
玩玩, chinese
사다, korean
party, chinese
もめ, japanese
汚, japanese
塊, japanese
상상도, korean
灰色, japanese
左边, chinese
구두, korean
불가능해, korean
ハットン, japanese
资金, chinese
帳, japanese
城镇, chinese
海上, chinese
그만하고, korean
ジェット, japanese
谋杀案, chinese
學習, chinese
パイ, japanese
钓鱼, chinese
境, chinese
差点, chinese
생일, korean
물러서, korean
かれ, japanese
赤ん坊, japanese
団, japanese
亲, chinese
ウォーカー, japanese
抬头, chinese
연습, korean
같지, korean
幽默, chinese
普通, chinese
대부분은, korean
놈의, korean
성적인, korean
ウィルソン, japanese
ウォール, japanese
ッ, japanese
하시죠, korean
뻔한, korean
느그, korean
ゼット, japanese
班, chinese
不妥, chinese
나아요, korean
あん, japanese
ヒ, japanese
出场, chinese
忍, chinese
music, chinese
宿題, japanese
載, japanese
상태를, korean
되겠습니까, korean
제거하고, korean
설명, korean
独身, japanese
드디어, korean
马上去, chinese
河流, chinese
飽き, japanese
children, chinese
护理, chinese
great, korean
关注, chinese
娱乐, chinese
一気, japanese
ボックス, japanese
猜, chinese
얻게, korean
謂, chinese
摩尔, chinese
表現, japanese
波士顿, chinese
미안해, korean
움직여야, korean
支票, chinese
中隊, japanese
一线, chinese
路線, japanese
似合, japanese
杰瑞, chinese
그는, korean
none, korean
general, korean
菊花, chinese
来れ, japanese
班机, chinese
優れ, japanese
カップル, japanese
指纹, chinese
促進, japanese
ン, japanese
hat, chinese
공장에, korean
w, japanese
했다면, korean
doch, chinese
도시, korean
払え, japanese
大学, chinese
봤소, korean
約, japanese
少年, chinese
나가는, korean
알게, korean
함, korean
忽然, chinese
祝福, japanese
같으니라고, korean
吹き飛, japanese
人类, chinese
aliens, korean
言葉, japanese
ブレード, japanese
主义, chinese
取り上げ, japanese
移植, japanese
다섯, korean
充分, japanese
枪声, chinese
원래, korean
ヴァンペルト, japanese
상상이, korean
유럽, korean
翅膀, chinese
被験, japanese
아냐, korean
有用, chinese
돈, korean
夸奖, chinese
인생이, korean
互相, chinese
없잖아요, korean
观察, chinese
もてなし, japanese
毛巾, chinese
机密, chinese
彼女, japanese
찾으세요, korean
てめえ, japanese
能量, chinese
说谎, chinese
思维, chinese
온다, korean
浜辺, japanese
每次, chinese
claudia, chinese
礼儀, japanese
그렇겠지, korean
耐, chinese
누군지도, korean
작품, korean
by, japanese
欧洲, chinese
코를, korean
아니에요, korean
雅各, chinese
노래가, korean
정말이야, korean
南方, chinese
时代, chinese
적의, korean
남성, korean
알아요, korean
フィリップス, japanese
괜찮은데, korean
鸽子, chinese
daughter, chinese
玉, japanese
七, chinese
내려놓고, korean
아빠의, korean
當, chinese
悪党, japanese
季節, japanese
激烈, chinese
早め, japanese
着用, japanese
外傷, japanese
マトボ, japanese
成, japanese
チャージ, japanese
繊細, japanese
bradley, korean
adam, chinese
가야죠, korean
神, chinese
随后, chinese
黑社会, chinese
実感, japanese
精, chinese
that, japanese
描, japanese
昨天, chinese
穝, chinese
future, korean
发明, chinese
이안, korean
矮人, chinese
月光, chinese
여지가, korean
팔고, korean
陸軍, japanese
生まれ変わ, japanese
ゴードン, japanese
저스틴, korean
並べ, japanese
없었습니다, korean
될거야, korean
正当, japanese
怪物, japanese
缺点, chinese
哀, chinese
丽, chinese
초, korean
결코, korean
通向, chinese
订单, chinese
선을, korean
カメラマン, japanese
입에, korean
개인, korean
視線, japanese
プレストン, japanese
通話, japanese
早朝, japanese
おや, japanese
있어요, korean
앞을, korean
冗談, japanese
開拓, japanese
負か, japanese
ジミー, japanese
고쳐, korean
현지어로, korean
殺, japanese
살이, korean
지금이, korean
自然, japanese
두지, korean
手術, japanese
나요, korean
槍, japanese
prince, korean
老家伙, chinese
幸好, chinese
携带, chinese
メリーランド, japanese
玛格丽特, chinese
せ, japanese
やり, japanese
과, korean
别墅, chinese
長者, japanese
昂, chinese
노는, korean
荣, chinese
良心, japanese
住处, chinese
끝났습니다, korean
准备, chinese
夜通し, japanese
轨道, chinese
시카고, korean
アドラー, japanese
怀特, chinese
아버지께, korean
エンタープライズ, japanese
受害者, chinese
脚, chinese
警告, chinese
엄마가, korean
isn, korean
old, korean
멋진데, korean
有时, chinese
season, japanese
肉, chinese
났다, korean
로레인, korean
胃, japanese
ワイリー, japanese
障碍, chinese
迈尔斯, chinese
ω, chinese
인턴이, korean
メイド, japanese
兔崽子, chinese
ウイスキー, japanese
일주일에, korean
抱怨, chinese
レストレード, japanese
教会, japanese
그저, korean
ハメ, japanese
찬, korean
하나로, korean
말해주세요, korean
屈辱, japanese
引き付け, japanese
スパルタ, japanese
にゃ, japanese
局里, chinese
輸, chinese
老家, chinese
건가, korean
坊主, japanese
湖, japanese
한다, korean
默, chinese
ローズ, japanese
透, chinese
碳, chinese
工资, chinese
从前, chinese
ピアノ, japanese
フロア, japanese
フレディー, japanese
moved, korean
수표를, korean
입을, korean
thing, japanese
潜入, chinese
发出, chinese
立ち去, japanese
文句, japanese
コントロール, japanese
格子, japanese
意義, japanese
退治, japanese
훈련을, korean
光栄, japanese
诀, chinese
있더군요, korean
자격이, korean
養子, japanese
舅舅, chinese
생각하는지, korean
만드는, korean
完整, chinese
fine, chinese
大人, chinese
マネキン, japanese
real, japanese
위험한, korean
정도, korean
学, chinese
かろうじて, japanese
俗, chinese
테디, korean
하시는, korean
貰, japanese
줄도, korean
ミヤ, japanese
찾으러, korean
嗯, chinese
모여, korean
砂糖, japanese
逻辑, chinese
당신에, korean
通过, chinese
파티가, korean
나보다, korean
ウォーリー, japanese
名付け, japanese
评论, chinese
truth, korean
前提, chinese
동무가, korean
말아주세요, korean
조만간, korean
家里, chinese
寇, chinese
ザン, japanese
speak, chinese
摆, chinese
刚, chinese
劇的, japanese
冯, chinese
일이나, korean
work, chinese
社員, japanese
砕け, japanese
衝突, japanese
あい, japanese
guy, korean
闘, japanese
データー, japanese
卡住, chinese
账单, chinese
代わ, japanese
궁금한, korean
查出, chinese
そろ, japanese
大门, chinese
褒め, japanese
无处, chinese
市, japanese
バラ, japanese
迷宫, chinese
planet, korean
找, chinese
呗, chinese
電力, japanese
侮辱, japanese
纹, chinese
荷兰, chinese
te, chinese
冻, chinese
队长, chinese
기본적으로, korean
高中, chinese
特征, chinese
않았으면, korean
ゲット, japanese
観測, japanese
아일, korean
クリスチャン, japanese
뭐고, korean
서비스, korean
稼働, japanese
口径, chinese
z, chinese
고맙지만, korean
어쩌지, korean
없었을, korean
住居, japanese
매일같이, korean
orders, korean
賸, chinese
시에, korean
leonard, korean
等候, chinese
鲸鱼, chinese
低头, chinese
検索, japanese
크리스, korean
明る, japanese
銀, japanese
無傷, japanese
ジョンソン, japanese
足够, chinese
走近, chinese
θ, chinese
jax, chinese
가르치는, korean
역할을, korean
調整, japanese
기억도, korean
え, japanese
闪电, chinese
여자애를, korean
マネージャー, japanese
ジプシー, japanese
六点, chinese
seen, chinese
掛け, japanese
로렌, korean
놓지, korean
婶, chinese
依然, japanese
陰, chinese
存続, japanese
거겠지, korean
arden, korean
잘은, korean
谋眔, chinese
mountain, korean
見れ, japanese
诊所, chinese
喝, chinese
토비, korean
축하, korean
any, japanese
整, japanese
시계가, korean
아래에서, korean
지내는, korean
治愈, chinese
普拉, chinese
梦见, chinese
바라, korean
아까, korean
渋滞, japanese
있단다, korean
나타나는, korean
get, japanese
봐야겠어요, korean
把戏, chinese
ハワード, japanese
말하자면, korean
上級, japanese
생각은, korean
單, chinese
오는데, korean
tom, chinese
器, japanese
자기는, korean
missing, korean
있어야, korean
金, chinese
搜集, chinese
怎, chinese
나가야, korean
あたし, japanese
世上, chinese
干净, chinese
늦게까지, korean
보고서에, korean
ﻪ, chinese
남편의, korean
は, japanese
ソフト, japanese
때만, korean
특별한, korean
好像, chinese
先ほど, japanese
friends, chinese
报纸, chinese
生理, japanese
進化, japanese
国际, chinese
기, korean
없앨, korean
信号, chinese
阿姨, chinese
ﻄ, chinese
情况, chinese
前後, japanese
버크랑, korean
같은데, korean
正義, japanese
差別, japanese
먼저, korean
ビクター, japanese
들어오세요, korean
그건, korean
閉ざ, japanese
small, chinese
세계를, korean
石油, japanese
告発, japanese
地上, chinese
明白, chinese
プライス, japanese
실컷, korean
